Date,Growing Year,Thermal Temperature,Cumulative Thermal Temperature
1978-09-01,1978-1979,12.6,12.6
1978-09-02,1978-1979,12.55,25.15
1978-09-03,1978-1979,12.649999999999999,37.8
1978-09-04,1978-1979,12.9,50.699999999999996
1978-09-05,1978-1979,14.8,65.5
1978-09-06,1978-1979,16.25,81.75
1978-09-07,1978-1979,16.65,98.4
1978-09-08,1978-1979,14.350000000000001,112.75
1978-09-09,1978-1979,16.700000000000003,129.45
1978-09-10,1978-1979,19.6,149.04999999999998
1978-09-11,1978-1979,17.15,166.2
1978-09-12,1978-1979,13.450000000000003,179.64999999999998
1978-09-13,1978-1979,16.55,196.2
1978-09-14,1978-1979,14.25,210.45
1978-09-15,1978-1979,14.549999999999999,225.0
1978-09-16,1978-1979,15.2,240.2
1978-09-17,1978-1979,14.55,254.75
1978-09-18,1978-1979,11.900000000000002,266.65
1978-09-19,1978-1979,11.500000000000002,278.15
1978-09-20,1978-1979,11.750000000000002,289.9
1978-09-21,1978-1979,16.35,306.25
1978-09-22,1978-1979,14.950000000000001,321.2
1978-09-23,1978-1979,15.650000000000004,336.84999999999997
1978-09-24,1978-1979,17.349999999999998,354.2
1978-09-25,1978-1979,15.25,369.45
1978-09-26,1978-1979,10.899999999999999,380.34999999999997
1978-09-27,1978-1979,13.299999999999999,393.65
1978-09-28,1978-1979,11.5,405.15
1978-09-29,1978-1979,12.35,417.5
1978-09-30,1978-1979,9.2,426.7
1978-10-01,1978-1979,11.3,438.0
1978-10-02,1978-1979,9.350000000000001,447.35
1978-10-03,1978-1979,9.25,456.6
1978-10-04,1978-1979,9.200000000000001,465.8
1978-10-05,1978-1979,12.95,478.75
1978-10-06,1978-1979,13.8,492.55
1978-10-07,1978-1979,12.499999999999996,505.05
1978-10-08,1978-1979,11.600000000000001,516.65
1978-10-09,1978-1979,13.800000000000002,530.4499999999999
1978-10-10,1978-1979,15.150000000000002,545.5999999999999
1978-10-11,1978-1979,17.599999999999998,563.1999999999999
1978-10-12,1978-1979,16.0,579.1999999999999
1978-10-13,1978-1979,11.049999999999999,590.2499999999999
1978-10-14,1978-1979,11.000000000000002,601.2499999999999
1978-10-15,1978-1979,13.049999999999999,614.2999999999998
1978-10-16,1978-1979,10.049999999999999,624.3499999999998
1978-10-17,1978-1979,8.600000000000001,632.9499999999998
1978-10-18,1978-1979,7.600000000000001,640.5499999999998
1978-10-19,1978-1979,9.399999999999999,649.9499999999998
1978-10-20,1978-1979,11.6,661.5499999999998
1978-10-21,1978-1979,9.15,670.6999999999998
1978-10-22,1978-1979,11.800000000000002,682.4999999999998
1978-10-23,1978-1979,9.5,691.9999999999998
1978-10-24,1978-1979,12.100000000000001,704.0999999999998
1978-10-25,1978-1979,13.850000000000001,717.9499999999998
1978-10-26,1978-1979,13.0,730.9499999999998
1978-10-27,1978-1979,12.75,743.6999999999998
1978-10-28,1978-1979,8.8,752.4999999999998
1978-10-29,1978-1979,9.250000000000004,761.7499999999998
1978-10-30,1978-1979,11.049999999999999,772.7999999999997
1978-10-31,1978-1979,11.899999999999999,784.6999999999997
1978-11-01,1978-1979,12.15,796.8499999999997
1978-11-02,1978-1979,13.700000000000001,810.5499999999997
1978-11-03,1978-1979,8.5,819.0499999999997
1978-11-04,1978-1979,10.049999999999999,829.0999999999997
1978-11-05,1978-1979,11.350000000000001,840.4499999999997
1978-11-06,1978-1979,10.049999999999999,850.4999999999997
1978-11-07,1978-1979,10.8,861.2999999999996
1978-11-08,1978-1979,13.650000000000002,874.9499999999996
1978-11-09,1978-1979,9.55,884.4999999999995
1978-11-10,1978-1979,7.300000000000001,891.7999999999995
1978-11-11,1978-1979,6.8,898.5999999999995
1978-11-12,1978-1979,9.450000000000001,908.0499999999995
1978-11-13,1978-1979,7.3500000000000005,915.3999999999995
1978-11-14,1978-1979,9.25,924.6499999999995
1978-11-15,1978-1979,11.85,936.4999999999995
1978-11-16,1978-1979,7.250000000000002,943.7499999999995
1978-11-17,1978-1979,9.15,952.8999999999995
1978-11-18,1978-1979,11.45,964.3499999999996
1978-11-19,1978-1979,12.65,976.9999999999995
1978-11-20,1978-1979,5.5,982.4999999999995
1978-11-21,1978-1979,7.999999999999999,990.4999999999995
1978-11-22,1978-1979,11.55,1002.0499999999995
1978-11-23,1978-1979,10.600000000000001,1012.6499999999995
1978-11-24,1978-1979,10.55,1023.1999999999995
1978-11-25,1978-1979,3.05,1026.2499999999995
1978-11-26,1978-1979,1.9,1028.1499999999996
1978-11-27,1978-1979,1.2499999999999998,1029.3999999999996
1978-11-28,1978-1979,1.2499999999999998,1030.6499999999996
1978-11-29,1978-1979,1.6999999999999997,1032.3499999999997
1978-11-30,1978-1979,1.65,1033.9999999999998
1978-12-01,1978-1979,0.6,1034.5999999999997
1978-12-02,1978-1979,2.7999999999999994,1037.3999999999996
1978-12-03,1978-1979,3.3500000000000005,1040.7499999999995
1978-12-04,1978-1979,6.050000000000001,1046.7999999999995
1978-12-05,1978-1979,2.5999999999999996,1049.3999999999994
1978-12-06,1978-1979,1.0,1050.3999999999994
1978-12-07,1978-1979,3.8,1054.1999999999994
1978-12-08,1978-1979,5.800000000000001,1059.9999999999993
1978-12-09,1978-1979,9.35,1069.3499999999992
1978-12-10,1978-1979,10.150000000000002,1079.4999999999993
1978-12-11,1978-1979,10.85,1090.3499999999992
1978-12-12,1978-1979,9.65,1099.9999999999993
1978-12-13,1978-1979,6.8,1106.7999999999993
1978-12-14,1978-1979,6.7,1113.4999999999993
1978-12-15,1978-1979,4.8,1118.2999999999993
1978-12-16,1978-1979,4.35,1122.6499999999992
1978-12-17,1978-1979,2.2500000000000004,1124.8999999999992
1978-12-18,1978-1979,2.05,1126.9499999999991
1978-12-19,1978-1979,0.55,1127.499999999999
1978-12-20,1978-1979,0.3,1127.799999999999
1978-12-21,1978-1979,1.0,1128.799999999999
1978-12-22,1978-1979,0.3,1129.099999999999
1978-12-23,1978-1979,2.85,1131.949999999999
1978-12-24,1978-1979,4.450000000000001,1136.399999999999
1978-12-25,1978-1979,5.350000000000001,1141.7499999999989
1978-12-26,1978-1979,6.6,1148.3499999999988
1978-12-27,1978-1979,8.2,1156.5499999999988
1978-12-28,1978-1979,8.6,1165.1499999999987
1978-12-29,1978-1979,7.8,1172.9499999999987
1978-12-30,1978-1979,0.39999999999999997,1173.3499999999988
1978-12-31,1978-1979,0.0,1173.3499999999988
1979-01-01,1978-1979,0.0,1173.3499999999988
1979-01-02,1978-1979,0.3,1173.6499999999987
1979-01-03,1978-1979,0.0,1173.6499999999987
1979-01-04,1978-1979,0.25,1173.8999999999987
1979-01-05,1978-1979,0.0,1173.8999999999987
1979-01-06,1978-1979,1.8,1175.6999999999987
1979-01-07,1978-1979,3.450000000000001,1179.1499999999987
1979-01-08,1978-1979,5.15,1184.2999999999988
1979-01-09,1978-1979,2.5,1186.7999999999988
1979-01-10,1978-1979,2.15,1188.949999999999
1979-01-11,1978-1979,1.45,1190.399999999999
1979-01-12,1978-1979,1.2,1191.599999999999
1979-01-13,1978-1979,0.6,1192.199999999999
1979-01-14,1978-1979,1.0,1193.199999999999
1979-01-15,1978-1979,2.35,1195.5499999999988
1979-01-16,1978-1979,2.9,1198.449999999999
1979-01-17,1978-1979,0.6,1199.0499999999988
1979-01-18,1978-1979,0.15,1199.199999999999
1979-01-19,1978-1979,0.7999999999999999,1199.9999999999989
1979-01-20,1978-1979,1.6999999999999997,1201.699999999999
1979-01-21,1978-1979,0.75,1202.449999999999
1979-01-22,1978-1979,0.0,1202.449999999999
1979-01-23,1978-1979,0.0,1202.449999999999
1979-01-24,1978-1979,0.39999999999999997,1202.849999999999
1979-01-25,1978-1979,1.1,1203.949999999999
1979-01-26,1978-1979,0.25,1204.199999999999
1979-01-27,1978-1979,0.0,1204.199999999999
1979-01-28,1978-1979,1.2999999999999998,1205.4999999999989
1979-01-29,1978-1979,1.5,1206.9999999999989
1979-01-30,1978-1979,1.5,1208.4999999999989
1979-01-31,1978-1979,2.05,1210.5499999999988
1979-02-01,1978-1979,3.7500000000000004,1214.2999999999988
1979-02-02,1978-1979,1.2499999999999998,1215.5499999999988
1979-02-03,1978-1979,2.4499999999999997,1217.9999999999989
1979-02-04,1978-1979,1.8499999999999999,1219.8499999999988
1979-02-05,1978-1979,2.0999999999999996,1221.9499999999987
1979-02-06,1978-1979,1.15,1223.0999999999988
1979-02-07,1978-1979,1.8,1224.8999999999987
1979-02-08,1978-1979,1.35,1226.2499999999986
1979-02-09,1978-1979,1.2,1227.4499999999987
1979-02-10,1978-1979,0.95,1228.3999999999987
1979-02-11,1978-1979,0.95,1229.3499999999988
1979-02-12,1978-1979,0.75,1230.0999999999988
1979-02-13,1978-1979,2.75,1232.8499999999988
1979-02-14,1978-1979,0.049999999999999996,1232.8999999999987
1979-02-15,1978-1979,0.0,1232.8999999999987
1979-02-16,1978-1979,0.0,1232.8999999999987
1979-02-17,1978-1979,0.0,1232.8999999999987
1979-02-18,1978-1979,0.0,1232.8999999999987
1979-02-19,1978-1979,0.19999999999999998,1233.0999999999988
1979-02-20,1978-1979,0.6,1233.6999999999987
1979-02-21,1978-1979,0.8499999999999999,1234.5499999999986
1979-02-22,1978-1979,3.1,1237.6499999999985
1979-02-23,1978-1979,3.8999999999999995,1241.5499999999986
1979-02-24,1978-1979,2.6,1244.1499999999985
1979-02-25,1978-1979,3.0,1247.1499999999985
1979-02-26,1978-1979,2.3,1249.4499999999985
1979-02-27,1978-1979,4.0,1253.4499999999985
1979-02-28,1978-1979,2.55,1255.9999999999984
1979-03-01,1978-1979,4.199999999999999,1260.1999999999985
1979-03-02,1978-1979,6.250000000000001,1266.4499999999985
1979-03-03,1978-1979,9.65,1276.0999999999985
1979-03-04,1978-1979,6.15,1282.2499999999986
1979-03-05,1978-1979,4.8999999999999995,1287.1499999999987
1979-03-06,1978-1979,5.050000000000001,1292.1999999999987
1979-03-07,1978-1979,3.9,1296.0999999999988
1979-03-08,1978-1979,4.7,1300.7999999999988
1979-03-09,1978-1979,5.3999999999999995,1306.199999999999
1979-03-10,1978-1979,5.300000000000001,1311.4999999999989
1979-03-11,1978-1979,6.6,1318.0999999999988
1979-03-12,1978-1979,6.4,1324.4999999999989
1979-03-13,1978-1979,3.7,1328.199999999999
1979-03-14,1978-1979,1.9,1330.099999999999
1979-03-15,1978-1979,0.55,1330.649999999999
1979-03-16,1978-1979,0.19999999999999998,1330.849999999999
1979-03-17,1978-1979,2.25,1333.099999999999
1979-03-18,1978-1979,3.8500000000000005,1336.949999999999
1979-03-19,1978-1979,3.1499999999999995,1340.099999999999
1979-03-20,1978-1979,5.65,1345.749999999999
1979-03-21,1978-1979,4.3500000000000005,1350.099999999999
1979-03-22,1978-1979,3.65,1353.749999999999
1979-03-23,1978-1979,3.7500000000000004,1357.499999999999
1979-03-24,1978-1979,5.45,1362.9499999999991
1979-03-25,1978-1979,7.950000000000002,1370.8999999999992
1979-03-26,1978-1979,4.45,1375.3499999999992
1979-03-27,1978-1979,4.9,1380.2499999999993
1979-03-28,1978-1979,2.9000000000000004,1383.1499999999994
1979-03-29,1978-1979,3.3499999999999996,1386.4999999999993
1979-03-30,1978-1979,4.0,1390.4999999999993
1979-03-31,1978-1979,5.45,1395.9499999999994
1979-04-01,1978-1979,5.9,1401.8499999999995
1979-04-02,1978-1979,4.550000000000001,1406.3999999999994
1979-04-03,1978-1979,3.7500000000000004,1410.1499999999994
1979-04-04,1978-1979,3.3999999999999995,1413.5499999999995
1979-04-05,1978-1979,4.25,1417.7999999999995
1979-04-06,1978-1979,2.9,1420.6999999999996
1979-04-07,1978-1979,5.250000000000001,1425.9499999999996
1979-04-08,1978-1979,5.699999999999999,1431.6499999999996
1979-04-09,1978-1979,8.5,1440.1499999999996
1979-04-10,1978-1979,11.0,1451.1499999999996
1979-04-11,1978-1979,12.800000000000002,1463.9499999999996
1979-04-12,1978-1979,8.8,1472.7499999999995
1979-04-13,1978-1979,10.799999999999999,1483.5499999999995
1979-04-14,1978-1979,13.649999999999999,1497.1999999999996
1979-04-15,1978-1979,14.750000000000002,1511.9499999999996
1979-04-16,1978-1979,9.1,1521.0499999999995
1979-04-17,1978-1979,5.450000000000001,1526.4999999999995
1979-04-18,1978-1979,6.25,1532.7499999999995
1979-04-19,1978-1979,9.049999999999999,1541.7999999999995
1979-04-20,1978-1979,10.049999999999999,1551.8499999999995
1979-04-21,1978-1979,7.8,1559.6499999999994
1979-04-22,1978-1979,8.55,1568.1999999999994
1979-04-23,1978-1979,9.450000000000003,1577.6499999999994
1979-04-24,1978-1979,7.3500000000000005,1584.9999999999993
1979-04-25,1978-1979,6.7,1591.6999999999994
1979-04-26,1978-1979,7.05,1598.7499999999993
1979-04-27,1978-1979,7.85,1606.5999999999992
1979-04-28,1978-1979,7.399999999999999,1613.9999999999993
1979-04-29,1978-1979,6.699999999999999,1620.6999999999994
1979-04-30,1978-1979,6.6000000000000005,1627.2999999999993
1979-05-01,1978-1979,5.1499999999999995,1632.4499999999994
1979-05-02,1978-1979,3.6999999999999997,1636.1499999999994
1979-05-03,1978-1979,4.650000000000001,1640.7999999999995
1979-05-04,1978-1979,3.8500000000000005,1644.6499999999994
1979-05-05,1978-1979,4.7,1649.3499999999995
1979-05-06,1978-1979,5.35,1654.6999999999994
1979-05-07,1978-1979,8.500000000000002,1663.1999999999994
1979-05-08,1978-1979,10.000000000000002,1673.1999999999994
1979-05-09,1978-1979,9.35,1682.5499999999993
1979-05-10,1978-1979,8.9,1691.4499999999994
1979-05-11,1978-1979,12.25,1703.6999999999994
1979-05-12,1978-1979,14.700000000000001,1718.3999999999994
1979-05-13,1978-1979,16.299999999999997,1734.6999999999994
1979-05-14,1978-1979,17.4,1752.0999999999995
1979-05-15,1978-1979,18.05,1770.1499999999994
1979-05-16,1978-1979,16.25,1786.3999999999994
1979-05-17,1978-1979,10.649999999999999,1797.0499999999995
1979-05-18,1978-1979,11.05,1808.0999999999995
1979-05-19,1978-1979,9.8,1817.8999999999994
1979-05-20,1978-1979,9.250000000000002,1827.1499999999994
1979-05-21,1978-1979,10.8,1837.9499999999994
1979-05-22,1978-1979,10.299999999999999,1848.2499999999993
1979-05-23,1978-1979,10.75,1858.9999999999993
1979-05-24,1978-1979,9.35,1868.3499999999992
1979-05-25,1978-1979,8.75,1877.0999999999992
1979-05-26,1978-1979,9.950000000000001,1887.0499999999993
1979-05-27,1978-1979,10.200000000000001,1897.2499999999993
1979-05-28,1978-1979,10.350000000000001,1907.5999999999992
1979-05-29,1978-1979,14.95,1922.5499999999993
1979-05-30,1978-1979,14.200000000000001,1936.7499999999993
1979-05-31,1978-1979,12.95,1949.6999999999994
1979-06-01,1978-1979,11.650000000000004,1961.3499999999995
1979-06-02,1978-1979,14.049999999999999,1975.3999999999994
1979-06-03,1978-1979,12.799999999999999,1988.1999999999994
1979-06-04,1978-1979,15.5,2003.6999999999994
1979-06-05,1978-1979,15.7,2019.3999999999994
1979-06-06,1978-1979,11.95,2031.3499999999995
1979-06-07,1978-1979,10.5,2041.8499999999995
1979-06-08,1978-1979,12.049999999999999,2053.8999999999996
1979-06-09,1978-1979,14.799999999999999,2068.7
1979-06-10,1978-1979,13.800000000000002,2082.5
1979-06-11,1978-1979,12.4,2094.9
1979-06-12,1978-1979,11.0,2105.9
1979-06-13,1978-1979,14.45,2120.35
1979-06-14,1978-1979,13.35,2133.7
1979-06-15,1978-1979,9.75,2143.45
1979-06-16,1978-1979,13.8,2157.25
1979-06-17,1978-1979,16.15,2173.4
1979-06-18,1978-1979,16.950000000000003,2190.35
1979-06-19,1978-1979,16.85,2207.2
1979-06-20,1978-1979,17.599999999999998,2224.7999999999997
1979-06-21,1978-1979,16.5,2241.2999999999997
1979-06-22,1978-1979,13.300000000000002,2254.6
1979-06-23,1978-1979,12.950000000000001,2267.5499999999997
1979-06-24,1978-1979,12.0,2279.5499999999997
1979-06-25,1978-1979,12.4,2291.95
1979-06-26,1978-1979,12.600000000000001,2304.5499999999997
1979-06-27,1978-1979,12.85,2317.3999999999996
1979-06-28,1978-1979,13.399999999999999,2330.7999999999997
1979-06-29,1978-1979,13.600000000000003,2344.3999999999996
1979-06-30,1978-1979,12.65,2357.0499999999997
1979-07-01,1978-1979,12.0,2369.0499999999997
1979-07-02,1978-1979,12.399999999999999,2381.45
1979-07-03,1978-1979,13.5,2394.95
1979-07-04,1978-1979,15.9,2410.85
1979-07-05,1978-1979,16.65,2427.5
1979-07-06,1978-1979,18.1,2445.6
1979-07-07,1978-1979,15.7,2461.2999999999997
1979-07-08,1978-1979,15.7,2476.9999999999995
1979-07-09,1978-1979,17.35,2494.3499999999995
1979-07-10,1978-1979,14.899999999999999,2509.2499999999995
1979-07-11,1978-1979,15.450000000000001,2524.6999999999994
1979-07-12,1978-1979,16.95,2541.649999999999
1979-07-13,1978-1979,16.85,2558.499999999999
1979-07-14,1978-1979,14.8,2573.2999999999993
1979-07-15,1978-1979,16.25,2589.5499999999993
1979-07-16,1978-1979,15.049999999999999,2604.5999999999995
1979-07-17,1978-1979,18.249999999999996,2622.8499999999995
1979-07-18,1978-1979,17.55,2640.3999999999996
1979-07-19,1978-1979,13.600000000000001,2653.9999999999995
1979-07-20,1978-1979,16.0,2669.9999999999995
1979-07-21,1978-1979,14.899999999999999,2684.8999999999996
1979-07-22,1978-1979,11.25,2696.1499999999996
1979-07-23,1978-1979,14.200000000000001,2710.3499999999995
1979-07-24,1978-1979,15.5,2725.8499999999995
1979-07-25,1978-1979,16.45,2742.2999999999993
1979-07-26,1978-1979,17.5,2759.7999999999993
1979-07-27,1978-1979,17.84441402866993,2777.6444140286694
1979-07-28,1978-1979,19.799999999999997,2797.4444140286696
1979-07-29,1978-1979,18.45,2815.8944140286694
1979-07-30,1978-1979,16.5,2832.3944140286694
1979-07-31,1978-1979,16.650000000000002,2849.0444140286695
1979-08-01,1978-1979,16.8,2865.8444140286697
1979-08-02,1978-1979,16.4,2882.24441402867
1979-08-03,1978-1979,15.700000000000001,2897.9444140286696
1979-08-04,1978-1979,16.5,2914.4444140286696
1979-08-05,1978-1979,15.950000000000001,2930.3944140286694
1979-08-06,1978-1979,16.85,2947.2444140286693
1979-08-07,1978-1979,18.15,2965.3944140286694
1979-08-08,1978-1979,14.400000000000002,2979.7944140286695
1979-08-09,1978-1979,14.3,2994.0944140286697
1979-08-10,1978-1979,14.100000000000001,3008.1944140286696
1979-08-11,1978-1979,18.200000000000003,3026.3944140286694
1979-08-12,1978-1979,19.55,3045.9444140286696
1979-08-13,1978-1979,16.85,3062.7944140286695
1979-08-14,1978-1979,17.4,3080.1944140286696
1979-08-15,1978-1979,14.499999999999998,3094.6944140286696
1979-08-16,1978-1979,13.3,3107.99441402867
1979-08-17,1978-1979,15.200000000000001,3123.1944140286696
1979-08-18,1978-1979,15.150000000000002,3138.3444140286697
1979-08-19,1978-1979,15.2,3153.5444140286695
1979-08-20,1978-1979,15.899999999999999,3169.4444140286696
1979-08-21,1978-1979,15.899999999999999,3185.3444140286697
1979-08-22,1978-1979,12.55,3197.89441402867
1979-08-23,1978-1979,10.0,3207.89441402867
1979-08-24,1978-1979,11.8,3219.69441402867
1979-08-25,1978-1979,11.149999999999999,3230.84441402867
1979-08-26,1978-1979,13.299999999999999,3244.1444140286703
1979-08-27,1978-1979,12.2,3256.34441402867
1979-08-28,1978-1979,11.999999999999998,3268.34441402867
1979-08-29,1978-1979,13.7,3282.04441402867
1979-08-30,1978-1979,16.700000000000003,3298.74441402867
1979-08-31,1978-1979,15.45,3314.1944140286696
1979-09-01,1979-1980,17.950000000000003,17.950000000000003
