JDay,Max Temp
1.0,6.686888888888888
2.0,6.561111111111111
3.0,6.06
4.0,5.981777777777778
5.0,6.5891111111111105
6.0,6.251777777777777
7.0,5.7379999999999995
8.0,6.218444444444444
9.0,6.335333333333333
10.0,6.350888888888889
11.0,6.095111111111112
12.0,6.206888888888889
13.0,6.677111111111111
14.0,6.1835555555555555
15.0,6.4108888888888895
16.0,6.1337777777777776
17.0,5.578666666666667
18.0,5.801777777777778
19.0,6.099777777777778
20.0,6.012666666666666
21.0,6.146
22.0,6.088888888888889
23.0,6.1897777777777785
24.0,6.033777777777777
25.0,6.231111111111111
26.0,6.270444444444445
27.0,6.6866666666666665
28.0,6.635555555555556
29.0,6.9077777777777785
30.0,6.2106666666666674
31.0,6.6577777777777785
32.0,6.733777777777777
33.0,6.669555555555555
34.0,6.956222222222221
35.0,7.818222222222222
36.0,7.491333333333333
37.0,7.33688888888889
38.0,6.631333333333334
39.0,6.519111111111111
40.0,6.450444444444444
41.0,6.258
42.0,6.705227272727272
43.0,6.715681818181818
44.0,6.566590909090909
45.0,6.840681818181818
46.0,7.546363636363637
47.0,7.256590909090909
48.0,7.680909090909091
49.0,7.768636363636364
50.0,7.413181818181818
51.0,7.429318181818181
52.0,7.417727272727273
53.0,7.663409090909091
54.0,7.747727272727272
55.0,7.993181818181818
56.0,7.569318181818182
57.0,8.019318181818182
58.0,8.168409090909092
59.0,8.059545454545455
60.0,7.760909090909092
61.0,7.549318181818182
62.0,7.643636363636364
63.0,7.988636363636363
64.0,8.452045454545454
65.0,9.042272727272728
66.0,9.346590909090908
67.0,9.681363636363637
68.0,9.742272727272727
69.0,10.28340909090909
70.0,10.432272727272727
71.0,10.09590909090909
72.0,9.955227272727273
73.0,10.35840909090909
74.0,10.54659090909091
75.0,10.734318181818182
76.0,10.834318181818182
77.0,10.645454545454545
78.0,10.42159090909091
79.0,10.259090909090908
80.0,10.603181818181818
81.0,10.78340909090909
82.0,11.327499999999999
83.0,10.784545454545453
84.0,11.197727272727272
85.0,11.116363636363637
86.0,11.177045454545455
87.0,11.19909090909091
88.0,11.413181818181819
89.0,12.140454545454544
90.0,12.140227272727271
91.0,11.977272727272727
92.0,11.72909090909091
93.0,11.598863636363637
94.0,11.334090909090909
95.0,11.658636363636363
96.0,12.060454545454546
97.0,11.389545454545454
98.0,11.972045454545453
99.0,12.487727272727273
100.0,12.65227272727273
101.0,12.195
102.0,12.406363636363636
103.0,12.174318181818181
104.0,12.637272727272727
105.0,13.287727272727272
106.0,13.109772727272729
107.0,13.1275
108.0,12.825909090909091
109.0,12.994318181818182
110.0,13.335681818181818
111.0,14.487045454545454
112.0,14.783181818181818
113.0,14.398863636363636
114.0,14.382272727272728
115.0,13.961818181818183
116.0,13.785909090909092
117.0,14.004545454545456
118.0,14.010909090909092
119.0,13.717727272727274
120.0,14.513181818181819
121.0,14.701136363636364
122.0,14.769772727272727
123.0,14.805909090909092
124.0,14.542727272727273
125.0,15.309772727272728
126.0,15.583863636363635
127.0,15.905
128.0,15.897045454545456
129.0,15.97181818181818
130.0,16.08590909090909
131.0,15.98159090909091
132.0,15.513863636363636
133.0,16.09568181818182
134.0,16.021818181818183
135.0,16.474999999999998
136.0,16.454090909090908
137.0,16.07659090909091
138.0,16.29659090909091
139.0,16.552045454545453
140.0,17.069090909090907
141.0,16.752954545454546
142.0,17.027045454545455
143.0,17.19090909090909
144.0,17.555
145.0,17.87272727272727
146.0,17.55181818181818
147.0,17.192272727272726
148.0,17.082045454545455
149.0,17.540681818181817
150.0,17.500681818181818
151.0,18.261136363636364
152.0,18.643863636363637
153.0,18.754772727272726
154.0,18.39636363636364
155.0,17.538181818181815
156.0,17.7025
157.0,17.665681818181817
158.0,18.32840909090909
159.0,18.512954545454544
160.0,18.832272727272727
161.0,18.562272727272727
162.0,18.39636363636364
163.0,18.16522727272727
164.0,19.045
165.0,19.415454545454544
166.0,19.31931818181818
167.0,19.78090909090909
168.0,20.129545454545454
169.0,19.579545454545453
170.0,19.6775
171.0,19.97659090909091
172.0,19.473863636363635
173.0,19.820227272727273
174.0,19.99295454545455
175.0,20.558636363636364
176.0,20.738636363636363
177.0,20.922727272727272
178.0,20.572727272727274
179.0,20.544318181818184
180.0,20.879772727272726
181.0,20.655454545454546
182.0,20.752727272727274
183.0,20.955454545454543
184.0,20.570681818181818
185.0,21.099999999999998
186.0,21.34181818181818
187.0,21.284772727272728
188.0,21.39
189.0,21.498181818181816
190.0,21.333181818181817
191.0,21.769545454545455
192.0,21.793863636363636
193.0,21.68613636363636
194.0,21.48840909090909
195.0,21.72659090909091
196.0,22.245454545454546
197.0,22.186136363636365
198.0,21.93318181818182
199.0,22.525000000000002
200.0,23.16840909090909
201.0,22.654090909090908
202.0,22.30727272727273
203.0,22.032272727272726
204.0,22.84340909090909
205.0,22.639772727272728
206.0,22.837500000000002
207.0,22.425454545454546
208.0,22.345909090909092
209.0,22.3675
210.0,22.64659090909091
211.0,22.17340909090909
212.0,22.630681818181817
213.0,22.900227272727275
214.0,22.42431818181818
215.0,22.72568181818182
216.0,22.075454545454548
217.0,22.206363636363637
218.0,22.687954545454545
219.0,22.328636363636363
220.0,22.388863636363638
221.0,22.55909090909091
222.0,22.517045454545453
223.0,22.73818181818182
224.0,21.98590909090909
225.0,22.353181818181817
226.0,22.30159090909091
227.0,22.853181818181817
228.0,21.799545454545456
229.0,21.844772727272726
230.0,22.116818181818182
231.0,22.418181818181818
232.0,22.266363636363636
233.0,22.156363636363636
234.0,22.090681818181817
235.0,21.65772727272727
236.0,21.242045454545455
237.0,21.094545454545454
238.0,20.943181818181817
239.0,20.77477272727273
240.0,20.83659090909091
241.0,20.856818181818184
242.0,20.29386363636364
243.0,20.466136363636362
244.0,20.58022727272727
245.0,20.758181818181818
246.0,20.784772727272728
247.0,20.82431818181818
248.0,20.381590909090907
249.0,20.001818181818184
250.0,20.75318181818182
251.0,20.44431818181818
252.0,20.218863636363636
253.0,20.307045454545456
254.0,19.96159090909091
255.0,19.575227272727275
256.0,18.732045454545457
257.0,19.023636363636363
258.0,19.101136363636364
259.0,18.965227272727272
260.0,18.80727272727273
261.0,18.808863636363636
262.0,18.656363636363636
263.0,18.861590909090907
264.0,19.222727272727273
265.0,18.50227272727273
266.0,18.24568181818182
267.0,17.776818181818182
268.0,17.75340909090909
269.0,17.449545454545454
270.0,17.544090909090908
271.0,17.791818181818183
272.0,17.948636363636364
273.0,17.774545454545457
274.0,17.552045454545453
275.0,16.702045454545456
276.0,16.338636363636365
277.0,16.25613636363636
278.0,16.239772727272726
279.0,15.88090909090909
280.0,15.449318181818182
281.0,15.932045454545454
282.0,16.2275
283.0,16.300454545454546
284.0,15.722272727272726
285.0,15.299090909090909
286.0,15.786818181818182
287.0,14.596363636363636
288.0,14.440227272727272
289.0,14.667727272727273
290.0,14.515227272727271
291.0,14.076818181818181
292.0,14.33977272727273
293.0,13.474772727272727
294.0,13.8525
295.0,13.46
296.0,13.893863636363637
297.0,13.797500000000001
298.0,13.649318181818181
299.0,13.445227272727273
300.0,13.438181818181818
301.0,13.197954545454547
302.0,12.725
303.0,12.818863636363636
304.0,12.85931818181818
305.0,12.846590909090908
306.0,12.156590909090909
307.0,12.164772727272727
308.0,11.24
309.0,11.203863636363637
310.0,10.984545454545454
311.0,11.16159090909091
312.0,11.410454545454545
313.0,10.4175
314.0,11.103636363636364
315.0,11.173181818181819
316.0,10.687045454545455
317.0,10.456363636363635
318.0,9.937272727272727
319.0,10.327272727272726
320.0,9.271136363636364
321.0,9.092727272727272
322.0,9.63090909090909
323.0,8.992954545454545
324.0,8.354545454545455
325.0,7.472954545454545
326.0,8.271590909090909
327.0,7.9602272727272725
328.0,8.265227272727273
329.0,8.454545454545455
330.0,8.34840909090909
331.0,8.129772727272726
332.0,7.574545454545454
333.0,7.331818181818182
334.0,7.768636363636364
335.0,7.7695454545454545
336.0,7.308863636363636
337.0,7.598863636363637
338.0,7.305454545454546
339.0,7.387045454545454
340.0,6.889318181818182
341.0,7.183181818181819
342.0,7.135227272727272
343.0,6.738863636363636
344.0,6.482045454545454
345.0,6.199545454545454
346.0,6.705909090909091
347.0,6.575681818181818
348.0,6.127727272727273
349.0,6.456590909090909
350.0,6.511590909090909
351.0,6.617954545454546
352.0,6.616818181818181
353.0,6.9381818181818184
354.0,6.395
355.0,6.823863636363637
356.0,6.993181818181818
357.0,7.165454545454545
358.0,7.7775
359.0,7.322045454545455
360.0,6.800909090909091
361.0,6.385681818181817
362.0,6.140681818181818
363.0,6.115454545454545
364.0,6.496818181818182
365.0,6.473636363636363
366.0,5.1018181818181825
